Year,Site,Habitat,Fine_Trophic,Taxonomy,Count_m2,fished,time_series_id
2015,1,FR,Herbivore/Detritivore,Naso lituratus,0.031,yes,10
2016,1,FR,Herbivore/Detritivore,Naso lituratus,0.013,yes,10
2017,1,FR,Herbivore/Detritivore,Naso lituratus,0.004,yes,10
2007,1,FR,Herbivore/Detritivore,Naso unicornis,0.004,yes,11
2009,1,FR,Herbivore/Detritivore,Naso unicornis,0.005,yes,11
2013,1,FR,Herbivore/Detritivore,Naso unicornis,0.003,yes,11
2015,1,FR,Herbivore/Detritivore,Naso unicornis,0.001,yes,11
2016,1,FR,Herbivore/Detritivore,Naso unicornis,0.004,yes,11
2017,1,FR,Herbivore/Detritivore,Naso unicornis,0.005,yes,11
2006,1,FR,Herbivore/Detritivore,Scarus psittacus,0.003,yes,12
2007,1,FR,Herbivore/Detritivore,Scarus psittacus,0.001,yes,12
2008,1,FR,Herbivore/Detritivore,Scarus psittacus,0.076,yes,12
2009,1,FR,Herbivore/Detritivore,Scarus psittacus,0.005,yes,12
2010,1,FR,Herbivore/Detritivore,Scarus psittacus,0.053,yes,12
2011,1,FR,Herbivore/Detritivore,Scarus psittacus,0.064,yes,12
2012,1,FR,Herbivore/Detritivore,Scarus psittacus,0.083,yes,12
2013,1,FR,Herbivore/Detritivore,Scarus psittacus,0.116,yes,12
2014,1,FR,Herbivore/Detritivore,Scarus psittacus,0.14,yes,12
2015,1,FR,Herbivore/Detritivore,Scarus psittacus,0.032,yes,12
2016,1,FR,Herbivore/Detritivore,Scarus psittacus,0.169,yes,12
2017,1,FR,Herbivore/Detritivore,Scarus psittacus,0.087,yes,12
2018,1,FR,Herbivore/Detritivore,Scarus psittacus,0.068,yes,12
